epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,303.55,0.48603,0.63289,0.36675,0.93576,0.93339,0.94689,0.93682,0.679,0.91484,0.92606,0.92299,0.62037,0.70299,0.76969,0.48455,0.99574,0.00021875,0.00021875,0.00021875
127,305.957,0.47613,0.57411,0.34045,0.92519,0.93481,0.94689,0.94088,0.67938,0.91401,0.92606,0.92142,0.61491,0.70496,0.77589,0.48849,0.99642,0.0002105,0.0002105,0.0002105
128,308.353,0.47395,0.60274,0.35019,0.92339,0.93243,0.95218,0.94747,0.70751,0.91162,0.93135,0.92664,0.62351,0.7088,0.76955,0.47933,0.98278,0.00020225,0.00020225,0.00020225
129,310.751,0.47228,0.60638,0.32944,0.9266,0.95189,0.97715,0.95987,0.70244,0.93107,0.95636,0.94554,0.65242,0.71908,0.76001,0.47583,0.98072,0.000194,0.000194,0.000194
130,313.147,0.48863,0.61519,0.35103,0.92326,0.94655,0.97594,0.95375,0.69982,0.92547,0.9554,0.94809,0.66073,0.70973,0.75228,0.46477,0.97518,0.00018575,0.00018575,0.00018575
131,315.566,0.47672,0.58637,0.3511,0.93601,0.94451,0.97652,0.95348,0.70834,0.92349,0.95594,0.94511,0.66041,0.70883,0.74958,0.45744,0.98063,0.0001775,0.0001775,0.0001775
132,317.982,0.46453,0.54894,0.32664,0.91363,0.95305,0.97712,0.9536,0.71495,0.93207,0.95657,0.94523,0.65161,0.69938,0.75983,0.45436,0.97764,0.00016925,0.00016925,0.00016925
133,320.381,0.48928,0.61233,0.36296,0.92367,0.94308,0.97718,0.95362,0.72506,0.92207,0.95671,0.9449,0.65102,0.69828,0.76813,0.45265,0.97294,0.000161,0.000161,0.000161
134,322.807,0.46573,0.59973,0.35918,0.90662,0.94424,0.97732,0.95355,0.72518,0.92324,0.95687,0.9456,0.65732,0.69454,0.77982,0.46008,0.97139,0.00015275,0.00015275,0.00015275
135,325.251,0.46017,0.58137,0.34208,0.9043,0.95372,0.97753,0.95955,0.72607,0.92178,0.94594,0.93337,0.64075,0.69615,0.78323,0.46303,0.9779,0.0001445,0.0001445,0.0001445
136,327.641,0.44991,0.55062,0.34087,0.90572,0.95124,0.97742,0.96256,0.72511,0.91929,0.94583,0.9382,0.63124,0.68735,0.80183,0.46456,0.98093,0.00013625,0.00013625,0.00013625
137,330.08,0.46715,0.60138,0.33259,0.9221,0.95019,0.97716,0.96333,0.7241,0.91827,0.94547,0.93898,0.6488,0.68389,0.81529,0.4685,0.97831,0.000128,0.000128,0.000128
138,332.479,0.45004,0.60355,0.33252,0.90682,0.94988,0.97711,0.96571,0.73414,0.89701,0.92488,0.9184,0.6527,0.67526,0.81408,0.45744,0.96852,0.00011975,0.00011975,0.00011975
139,334.928,0.46463,0.57265,0.32568,0.91341,0.95525,0.98508,0.96703,0.73975,0.91315,0.94353,0.94123,0.64276,0.6696,0.8088,0.4507,0.9605,0.0001115,0.0001115,0.0001115
140,337.318,0.46049,0.59964,0.34536,0.91355,0.95574,0.98563,0.9652,0.73722,0.91357,0.94409,0.93834,0.64096,0.66808,0.79728,0.44231,0.95316,0.00010325,0.00010325,0.00010325
141,340.211,0.44304,0.53171,0.35267,0.91998,0.95547,0.9854,0.9625,0.7306,0.91348,0.94404,0.93383,0.63736,0.67103,0.80194,0.44888,0.95059,9.5e-05,9.5e-05,9.5e-05
142,342.61,0.48095,0.56823,0.34986,0.93817,0.94814,0.97655,0.95886,0.72105,0.93438,0.96463,0.95295,0.63763,0.67944,0.78764,0.44577,0.95856,8.675e-05,8.675e-05,8.675e-05
143,344.99,0.46438,0.51369,0.32385,0.94415,0.94769,0.97643,0.95803,0.72268,0.93442,0.96386,0.95213,0.64487,0.67867,0.77974,0.44657,0.96033,7.85e-05,7.85e-05,7.85e-05
144,347.359,0.43753,0.52967,0.33547,0.90095,0.94803,0.97541,0.95864,0.7242,0.93436,0.9632,0.95361,0.63752,0.67151,0.76868,0.44426,0.95745,7.025e-05,7.025e-05,7.025e-05
145,349.737,0.41813,0.51102,0.31229,0.90978,0.94857,0.97435,0.95953,0.72736,0.93406,0.96348,0.95544,0.64517,0.67323,0.76319,0.4456,0.95688,6.2e-05,6.2e-05,6.2e-05
146,352.104,0.43582,0.5112,0.32878,0.93318,0.9515,0.97576,0.9617,0.7282,0.93049,0.955,0.95604,0.66201,0.67579,0.75706,0.45033,0.95739,5.375e-05,5.375e-05,5.375e-05
147,354.524,0.42987,0.52532,0.31807,0.91395,0.9466,0.96647,0.96241,0.73134,0.92525,0.94574,0.95675,0.66452,0.67083,0.7531,0.4471,0.9547,4.55e-05,4.55e-05,4.55e-05
148,356.959,0.44205,0.51025,0.31907,0.93249,0.95225,0.984,0.96605,0.74099,0.93135,0.96335,0.96039,0.66355,0.66355,0.75074,0.44012,0.95428,3.725e-05,3.725e-05,3.725e-05
149,359.396,0.40605,0.53773,0.32494,0.93039,0.95446,0.98058,0.96634,0.74065,0.93352,0.95988,0.96068,0.6679,0.66098,0.75182,0.43759,0.95508,2.9e-05,2.9e-05,2.9e-05
150,361.824,0.42301,0.5003,0.3035,0.92332,0.9535,0.98087,0.96641,0.74641,0.93252,0.9601,0.96076,0.66648,0.65863,0.75403,0.43342,0.95168,2.075e-05,2.075e-05,2.075e-05
